id_listing_anon,room_type,listing_neighborhood,total_reviews
7368aaf3-a0af-4e4e-864e-f583661fdfad,Entire home/apt,Copacabana,0
9909e54c-672d-4ec6-ad51-32c314f84425,Entire home/apt,-unknown-,0
65b21484-c416-4d23-b806-63dc582c3527,Entire home/apt,Copacabana,2
e29c8e1c-05ba-43cd-a8e5-8c244205341f,Entire home/apt,-unknown-,0
8ad23ec4-10c9-4c33-a965-9361c8a8d173,Entire home/apt,Vidigal,0
c4df65a9-675c-4cd3-88e6-78fb35502ee3,Entire home/apt,Leme,1
10b1cecd-7753-4467-b762-161fe9716a1f,Entire home/apt,Santa Teresa,76
ef957d76-5148-4044-9d7f-52e6c3175f25,Entire home/apt,Copacabana,22
f65fd64b-f4f1-4ed7-abbc-1238cfbd0727,Entire home/apt,-unknown-,1
ebff092e-b400-4c1a-98a7-525582cac7f2,Private room,GlÃ_ria,52
5f7c72c1-219f-4c71-a9e9-09f21edf074f,Entire home/apt,-unknown-,12
cf94b87c-59a1-4cfc-b2fc-6dd58b1324ff,Private room,-unknown-,0
3121867f-5027-49c8-bed4-ee9a0d132994,Entire home/apt,Copacabana,37
8708f25f-26ea-40aa-87ff-7888b92bae13,Private room,Copacabana,0
47f09f58-7af3-4286-96c7-a104aa90d709,Entire home/apt,Copacabana,0
2425ef5a-c1bc-48a8-a7d9-6df4b0503ca1,Entire home/apt,GlÃ_ria,36
d7eb5a71-117d-41b5-9413-8a854fe7a3f7,Entire home/apt,Ipanema,0
6a7c75bc-a9c9-482a-b558-1e731a4d7b49,Private room,-unknown-,0
852e6acb-28a2-4622-a5fd-684dd28711a0,Entire home/apt,-unknown-,0
779dbf98-9105-4a8a-bad1-3bac45909d84,Entire home/apt,-unknown-,11
44d38823-4c38-4567-9da5-dc100b18512c,Entire home/apt,-unknown-,3
e15e669c-d1c1-47c9-b790-7a2b35936ebd,Entire home/apt,-unknown-,1
1f905adf-27dc-4615-8099-501c3555d4bc,Entire home/apt,Laranjeiras,0
f38219e9-eb93-4174-a380-ea0a41381b09,Private room,-unknown-,0
3194b338-26d7-4fda-a164-68ba825a617e,Entire home/apt,Ipanema,1
65e48c3b-2b4b-4d08-a820-50179881b730,Entire home/apt,Laranjeiras,0
3de75829-f3cc-4dae-b08b-42fa7d3b8f4b,Entire home/apt,Ipanema,41
0581487a-3c5d-47ff-932b-4afbf243d93e,Entire home/apt,Copacabana,128
691a91f1-eca2-4219-9533-0d3cff3fd7b2,Private room,Ipanema,63
19123289-da68-4ad3-8395-db8e418415ef,Private room,Flamengo,8
5776ab6f-5fa7-40bb-8caa-a5d76ebe6137,Entire home/apt,-unknown-,0
f0a327ba-4deb-4934-a05b-795b7f6e017c,Entire home/apt,Copacabana,57
58ea7e3d-c368-4d44-8679-5b7e3274b6c0,Private room,Leblon,52
f6b3077d-110a-455f-845f-e3ca35b19eac,Private room,Laranjeiras,1
66b65f87-668d-4206-9741-010d232d0a6a,Private room,Ipanema,2
e30e0052-2ca7-4b9a-947d-fab7196e8316,Private room,Leme,59
46bf7773-2358-4b8c-8cf9-8276ac79158f,Entire home/apt,Santa Teresa,0
af93e561-8ef6-47a5-8999-0a0bb964ce52,Entire home/apt,Recreio dos Bandeirantes,1
756aa7dc-d6b2-44c0-aae7-a27012d87bb6,Entire home/apt,Vila Isabel,0
070f0bc4-8daf-41c4-b835-207cb1331814,Entire home/apt,Copacabana,6
6599ae6b-9a31-4beb-b24f-5796946e1147,Entire home/apt,-unknown-,0
e02713f4-3fb4-47b8-859f-d18090cb13d0,Entire home/apt,-unknown-,0
a318272d-ea2a-4fc6-8241-0d520b1094fc,Entire home/apt,-unknown-,0
5281131f-9f34-46d8-bf80-7a0426aa6106,Private room,-unknown-,0
87103849-9276-44c1-bd6d-b1eac76e6ee1,Entire home/apt,-unknown-,1
967c0599-03d8-4104-b979-26856374ad04,Entire home/apt,Lagoa,4
33d412e3-f1da-4040-8fa6-5e5766f19cf6,Entire home/apt,-unknown-,23
e29b95bc-4c6c-4ea1-bf78-5edbd48282e3,Entire home/apt,-unknown-,0
932d6cd4-90fa-425c-977e-f36fa2a2b57d,Entire home/apt,-unknown-,2
40841ab3-9622-4a93-b7a8-a883d906e738,Entire home/apt,Copacabana,5
